"","model","year","anom","obs.prob","preind.prob","FAR"
"228","IPSL.CM5A.LR",2004,0.749672287118091,0.15,0,1
"229","IPSL.CM5A.LR",2005,1.16169114679827,0.1,0,1
"230","IPSL.CM5A.LR",2006,-0.201629806877698,0.583333333333333,0.0666666666666667,0.885714285714286
"231","IPSL.CM5A.LR",2007,-0.824393603474314,0.816666666666667,0.266666666666667,0.673469387755102
"232","IPSL.CM5A.LR",2008,-1.29597842313798,0.933333333333333,0.483333333333333,0.482142857142857
"233","IPSL.CM5A.LR",2009,-0.698555674079995,0.783333333333333,0.183333333333333,0.765957446808511
"234","IPSL.CM5A.LR",2010,-0.0301942274965837,0.466666666666667,0.05,0.892857142857143
"235","IPSL.CM5A.LR",2011,-0.540656884891217,0.7,0.133333333333333,0.80952380952381
"236","IPSL.CM5A.LR",2012,-1.09875526358379,0.9,0.366666666666667,0.592592592592593
"237","IPSL.CM5A.LR",2013,0.359511167845603,0.283333333333333,0.0166666666666667,0.941176470588235
"238","IPSL.CM5A.LR",2014,1.82256839771351,0.0666666666666667,0,1
"239","IPSL.CM5A.LR",2015,1.91992081427929,0.05,0,1
"240","IPSL.CM5A.LR",2016,1.95547879438075,0.0333333333333333,0,1
"241","IPSL.CM5A.LR",2017,0.440752650178692,0.25,0,1
"242","IPSL.CM5A.LR",2018,1.33293179404422,0.0833333333333333,0,1
"243","IPSL.CM5A.LR",2019,2.0870844545176,0.0166666666666667,0,1
"244","IPSL.CM5A.LR",2020,1.10094550174994,0.1,0,1
"245","MRI.CGCM3",1960,-0.142901439099047,0.55,0.283333333333333,0.484848484848485
"246","MRI.CGCM3",1961,0.294243159786132,0.366666666666667,0.183333333333333,0.5
"247","MRI.CGCM3",1962,0.302220324234978,0.333333333333333,0.183333333333333,0.45
"248","MRI.CGCM3",1963,0.856152070502329,0.133333333333333,0.0833333333333333,0.375
"249","MRI.CGCM3",1964,-0.542224108452301,0.716666666666667,0.416666666666667,0.418604651162791
"250","MRI.CGCM3",1965,-0.910022437110546,0.85,0.566666666666667,0.333333333333333
"251","MRI.CGCM3",1966,-0.788141416143686,0.8,0.55,0.3125
"252","MRI.CGCM3",1967,-0.140048355298039,0.533333333333333,0.283333333333333,0.46875
"253","MRI.CGCM3",1968,-0.381324678186236,0.65,0.35,0.461538461538462
"254","MRI.CGCM3",1969,-1.03450067017124,0.866666666666667,0.666666666666667,0.230769230769231
"255","MRI.CGCM3",1970,-0.454134840295893,0.683333333333333,0.366666666666667,0.463414634146342
"256","MRI.CGCM3",1971,-1.81815131579209,1,0.933333333333333,0.0666666666666667
"257","MRI.CGCM3",1972,-1.36153361354136,0.95,0.766666666666667,0.192982456140351
"258","MRI.CGCM3",1973,-1.36362872713516,0.966666666666667,0.766666666666667,0.206896551724138
"259","MRI.CGCM3",1974,-0.544627364198504,0.733333333333333,0.416666666666667,0.431818181818182
"260","MRI.CGCM3",1975,-1.59985645048354,0.983333333333333,0.816666666666667,0.169491525423729
"261","MRI.CGCM3",1976,-1.17813042608259,0.916666666666667,0.666666666666667,0.272727272727273
"262","MRI.CGCM3",1977,0.00272401733757271,0.45,0.25,0.444444444444444
"263","MRI.CGCM3",1978,-0.217138545703326,0.6,0.283333333333333,0.527777777777778
"264","MRI.CGCM3",1979,0.380879030605877,0.266666666666667,0.15,0.4375
"265","MRI.CGCM3",1980,-0.245956162521962,0.616666666666667,0.316666666666667,0.486486486486487
"266","MRI.CGCM3",1981,0.462447162411669,0.216666666666667,0.15,0.307692307692308
"267","MRI.CGCM3",1982,-0.837057019550365,0.833333333333333,0.566666666666667,0.32
"268","MRI.CGCM3",1983,0.626917203677137,0.2,0.133333333333333,0.333333333333333
"269","MRI.CGCM3",1984,0.336364000169171,0.3,0.183333333333333,0.388888888888889
"270","MRI.CGCM3",1985,-0.589282287374645,0.75,0.45,0.4
"271","MRI.CGCM3",1986,0.333415425091244,0.316666666666667,0.183333333333333,0.421052631578947
"272","MRI.CGCM3",1987,0.0758441856779091,0.433333333333333,0.233333333333333,0.461538461538462
"273","MRI.CGCM3",1988,-0.442483747791814,0.666666666666667,0.366666666666667,0.45
"274","MRI.CGCM3",1989,0.0779782039873037,0.416666666666667,0.233333333333333,0.44
"275","MRI.CGCM3",1990,-0.0385396897425241,0.483333333333333,0.266666666666667,0.448275862068966
"276","MRI.CGCM3",1991,-0.132160999073242,0.5,0.283333333333333,0.433333333333333
"277","MRI.CGCM3",1992,0.152491166438986,0.4,0.216666666666667,0.458333333333333
"278","MRI.CGCM3",1993,0.713634372291098,0.183333333333333,0.116666666666667,0.363636363636364
"279","MRI.CGCM3",1994,0.30166005838468,0.35,0.183333333333333,0.476190476190476
"280","MRI.CGCM3",1995,-0.136547867076718,0.516666666666667,0.283333333333333,0.451612903225806
"281","MRI.CGCM3",1996,-0.166697355255671,0.566666666666667,0.283333333333333,0.5
"282","MRI.CGCM3",1997,0.939123386929974,0.116666666666667,0.0666666666666667,0.428571428571429
"283","MRI.CGCM3",1998,0.454095721090473,0.233333333333333,0.15,0.357142857142857
"284","MRI.CGCM3",1999,-1.04565272684706,0.883333333333333,0.666666666666667,0.245283018867925
"285","MRI.CGCM3",2000,-0.345132821298843,0.633333333333333,0.35,0.447368421052632
"286","MRI.CGCM3",2001,-0.619659713006213,0.766666666666667,0.45,0.41304347826087
"287","MRI.CGCM3",2002,0.284724865263887,0.383333333333333,0.183333333333333,0.521739130434783
"288","MRI.CGCM3",2003,0.73390677675377,0.166666666666667,0.116666666666667,0.3
"289","MRI.CGCM3",2004,0.749672287118091,0.15,0.116666666666667,0.222222222222222
"290","MRI.CGCM3",2005,1.16169114679827,0.1,0.0333333333333333,0.666666666666667
"291","MRI.CGCM3",2006,-0.201629806877698,0.583333333333333,0.283333333333333,0.514285714285714
"292","MRI.CGCM3",2007,-0.824393603474314,0.816666666666667,0.566666666666667,0.306122448979592
"293","MRI.CGCM3",2008,-1.29597842313798,0.933333333333333,0.716666666666667,0.232142857142857
"294","MRI.CGCM3",2009,-0.698555674079995,0.783333333333333,0.516666666666667,0.340425531914894
"295","MRI.CGCM3",2010,-0.0301942274965837,0.466666666666667,0.25,0.464285714285714
"296","MRI.CGCM3",2011,-0.540656884891217,0.7,0.416666666666667,0.404761904761905
"297","MRI.CGCM3",2012,-1.09875526358379,0.9,0.666666666666667,0.259259259259259
"298","MRI.CGCM3",2013,0.359511167845603,0.283333333333333,0.15,0.470588235294118
"299","MRI.CGCM3",2014,1.82256839771351,0.0666666666666667,0,1
"300","MRI.CGCM3",2015,1.91992081427929,0.05,0,1
"301","MRI.CGCM3",2016,1.95547879438075,0.0333333333333333,0,1
"302","MRI.CGCM3",2017,0.440752650178692,0.25,0.15,0.4
"303","MRI.CGCM3",2018,1.33293179404422,0.0833333333333333,0.0166666666666667,0.8
"304","MRI.CGCM3",2019,2.0870844545176,0.0166666666666667,0,1
"305","MRI.CGCM3",2020,1.10094550174994,0.1,0.0333333333333333,0.666666666666667
